  清除	  Clear
（原提醒时刻已过，改为 {0} 开始时提醒）	(the reminder time already passed — will remind at {0} when it starts)
（这个时间已经过了，没有设提醒 —— 要改到明天吗？）	(that time has already passed, no reminder set — move it to tomorrow?)
 · {0} 提醒你	 · reminds you at {0}
结束日（可空）	Until (optional)
✅ Pro 已开通，感谢支持小鹿 🦌	✅ Pro is active — thank you for supporting Looka 🦌
付款后切回本页，稍等片刻会自动开通	After paying, switch back to this page — it activates automatically
更聪明的小鹿 · 不限量（双引擎：GPT + DeepSeek，自动择优）	Smarter Looka · unlimited (dual engine: GPT + DeepSeek, auto-select)
未来7天	Next 7 days
＋ 日记	＋ Diary
导入恢复	Import & restore
已导入 {0} 条，正在同步…	Imported {0} items, syncing…
文件格式不对：请选择 Looka 导出的 JSON	Wrong file format: pick a JSON exported by Looka
AI 不限次（改为每天 10 次）	Unlimited AI (now 10 a day)
Looka 闹钟：持续响铃直到手动停止	Looka alarms: keeps ringing until you stop it
Pro 到期后	When Pro expires
· 小鹿 AI 助手（免费每天 10 次，Pro 不限次）\n	· Luka, your AI helper (10 a day free, unlimited with Pro)\n
……等 {0} 组	…and {0} groups in total
↩️ 已撤销刚才的 {0} 处修改	↩️ Undid {0} change(s)
↩️ 撤销刚才的修改	↩️ Undo that
⏰ 当成闹钟（持续响，静音也响）	⏰ Treat as alarm (keeps ringing, even on silent)
⏰ 测试闹钟（10 秒后持续响）	⏰ Test alarm (rings in 10s)
⚠️ 没找到要删的任务（#{0}），可能已经删过了	⚠️ Couldn't find task #{0} — maybe it's already gone
⚠️ 没找到要删的日程（#{0}），可能已经删过了	⚠️ Couldn't find event #{0} — maybe it's already gone
⚠️ 没找到要删的笔记（#{0}），可能已经删过了	⚠️ Couldn't find note #{0} — maybe it's already gone
⚠️ 没找到要改的任务（#{0}）—— 告诉我是哪一条？	⚠️ Couldn't find task #{0} — which one did you mean?
⚠️ 没找到要改的日程（#{0}）—— 告诉我是哪一条？	⚠️ Couldn't find event #{0} — which one did you mean?
⚠️ 没找到要改的笔记（#{0}）	⚠️ Couldn't find note #{0}
✅ 已完成任务：{0}	✅ Done: {0}
✏️ 已修改任务：{0}	✏️ Updated task: {0}
✏️ 已修改笔记：{0}	✏️ Updated note: {0}
✏️ 已修改：{0}	✏️ Updated: {0}
云同步和数据导出	Sync and export
今天还能聊 {0} 次（Pro 不限次，还能换更聪明的小鹿）	{0} messages left today (Pro is unlimited, with a smarter Luka)
传照片生成整套主题（规划中）	Build a whole theme from a photo (coming)
你保留了	You keep
你的 Pro 还有 {0} 天到期。到期后你做的东西都还在，只是不能再生成新的啦 🦌	Your Pro ends in {0} days. Everything you made stays — you just can't generate new ones 🦌
修改	Edit
做过的主题，继续能用	The themes you made, still usable
停止	Stop
全部内容和数据	All your content and data
共 {0} 件事	{0} things
共 {0} 件事，你勾选确认后我再动手 👇	{0} things — tick the ones you want and I'll do them 👇
再响5分钟	Snooze 5 min
到期不收回：你做的东西照样能用，我们只是不再为你生成新的。	Nothing is taken back: what you made keeps working, we just stop generating new ones.
到期后会怎样？	What happens when it expires?
发现 {0} 组重复（每组保留最早一条，删除其余 {1} 条）：	Found {0} duplicate groups (keeping the earliest of each, removing {1}):
好，都不动 🦌	Okay, leaving everything as is 🦌
官方表情包（104 枚内置）· 九色主题	104 built-in stamps · nine colour themes
小鹿 AI 对话不限次	Unlimited AI messages with Luka
小鹿 AI 对话不限次（防滥用限速：每天 100 次，正常使用碰不到）	Unlimited AI messages (fair-use cap of 100 a day; you won't hit it)
小鹿 AI 对话每天 10 次；Pro 不限次，还能换更聪明的小鹿	10 AI messages a day; Pro is unlimited, with a smarter Luka
小鹿 AI 对话（每天 10 次）	AI messages with Luka (10 a day)
已安排：10 秒后会响真闹钟（持续响铃），请锁屏等它	Set: a real alarm will ring in 10s — lock your screen and wait
已清理 {0} 条重复日程	Removed {0} duplicate events
年度回顾长图	Year in review
年度回顾长图 · 精美 PDF 导出（规划中）	Year in review · printable PDF export (coming)
执行勾选的	Do the ticked ones
提醒与闹钟 · 密码锁 · 小组件	Reminders and alarms · passcode · widgets
提醒和闹钟	Reminders and alarms
收到 = 通知链路是通的，问题出在提醒数据或调度；收不到 = 系统在拦截，按上面五关逐项放行。	Got it = notifications work, so the issue is the reminder data or scheduling. Nothing = the system is blocking; work through the five checks above.
日历 · 待办 · 笔记 · 日记	Calendar · to-dos · notes · diary
暂时用不了了	Paused for now
更聪明的小鹿（DeepSeek 高级模型）	A smarter Luka (DeepSeek)
更聪明的模型	The smarter model
标签体系 · 智能清单（规划中）	Tags and smart lists (coming)
每天 10 次	10 a day
每天 10 次 · 本月已聊 {0} 次	10 a day · {0} used this month
没有发现重复的日程 🦌	No duplicate events found 🦌
测试闹钟 🦌	Test alarm 🦌
清理	Clean up
清理重复日程	Clean up duplicate events
生成新主题 / 新表情包	Generating new themes / stickers
用户日程（近7天与未来14天，[e数字] 是它的 id）：	User's events (last 7 and next 14 days; [e<number>] is its id):
用户最近笔记（[n数字] 是它的 id）：	User's recent notes ([n<number>] is its id):
用户未完成任务（[t数字] 是它的 id）：	User's open tasks ([t<number>] is its id):
知道了	Got it
纹理纸 · 装饰插画 · 自定义图标（规划中）	Textured paper · illustrations · custom icon (coming)
统计：本月日记 {0} 篇；未完成任务共 {1} 项。	Stats: {0} diary entries this month; {1} open tasks.
能持续响铃，说明闹钟链路是通的	If it keeps ringing, the alarm path works
被手动调低后闹钟不会全屏弹出；点击恢复为「紧急」	If turned down, alarms won't show full screen. Tap to restore to Urgent.
闹钟	Alarm
闹钟渠道	Alarm channel
（重复日程，整个系列一起调整）	(recurring event — the whole series moved)
（重复日程，整个系列已删除）	(recurring event — the whole series deleted)
（重复）	(recurring)
🗑️ 已删除任务：{0}	🗑️ Deleted task: {0}
🗑️ 已删除日程：{0}	🗑️ Deleted event: {0}
🗑️ 已删除笔记：{0}	🗑️ Deleted note: {0}
· 数据本机优先，登录后云同步\n	· Data lives on your device first; sign in to sync\n
不偷偷扣钱：可随时取消，取消后立即不再扣款。	No sneaky charges: cancel any time and billing stops immediately.
没取到合适的颜色，换一张色彩多一点的照片试试？	Couldn't find good colours — try a more colourful photo?
从照片生成主题	Theme from a photo
挑一张喜欢的照片，小鹿从里面取色配一套 · 照片不会离开手机	Pick a photo you love and Luka builds a palette from it. The photo never leaves your phone.
照片里的颜色 🦌	Colours from your photo 🦌
挑一套喜欢的，点一下就换上	Pick the one you like — one tap to apply
还没起名字 · 点这里	No name yet · tap to set
怎么称呼你？	What should I call you?
最多 20 个字	Up to 20 characters
小鹿会这样叫你。留空就用账号显示。	This is how Luka will address you. Leave blank to show your account.
好的 🦌	Done 🦌
保存失败	Couldn't save
说给小鹿听 🦌	Tell Luka 🦌
这台手机没有可用的语音输入	No voice input available on this phone
麦克风被拒绝了，去浏览器设置里允许一下	Microphone blocked — allow it in your browser settings
语音识别出错了	Speech recognition failed
+{0} 🦌 今天的鹿角到账啦	+{0} 🦌 today's antlers have arrived
会用到鹿角的	What antlers are for
你填了自己的 AI Key，小鹿直连你的服务商	You set your own AI key — Luka connects directly to your provider
你记住过的用户偏好：	Preferences you have remembered about the user: 
写日记、建日程、贴表情、同步、导出、闹钟 —— 永远不用鹿角	Diary, events, stamps, sync, export, alarms — never cost antlers
参考价：100 枚 ≈ ¥6（暂不出售 —— 每天送的就够用）	Reference price: 100 ≈ ¥6 (not for sale yet — the daily grant is plenty)
发送失败，稍后再试	Couldn't send, try again later
和小鹿聊天	Chat with Luka
和小鹿聊天 1 枚 · AI 生成主题 2 枚 · 截图识别 3 枚（规划中）· 生成表情包 20 枚（规划中）	Chat 1 · AI theme 2 · screenshot import 3 (coming) · sticker pack 20 (coming)
小鹿 AI（每天 10 枚鹿角）	Luka AI (10 antlers a day)
小鹿记住了什么	What Luka remembers
已发送，感谢帮助小鹿变好 🦌	Sent — thanks for helping Luka get better 🦌
忘掉	Forget
我的邀请码：{0}	My invite code: {0}
我的鹿角	My antlers
明细	History
月度发放（旧）	Monthly grant (legacy)
朋友注册时填上它，你们各得 100 枚 🦌	When a friend signs up with it, you both get 100 🦌
朋友的邀请码（选填，各得 100 🦌）	Friend's invite code (optional, 100 🦌 each)
检测到上次异常退出 · 点击发送崩溃日志	Looka crashed last time · tap to send the crash log
每天 10 🦌	10 🦌 a day
每天 10 🦌 · 本月已聊 {0} 次	10 🦌 a day · {0} chats this month
每天 50 枚鹿角（5 倍额度，聊天生成随便用）	50 antlers a day (5× the allowance)
每天 50 枚鹿角（改回每天 10 枚）	50 antlers a day (back to 10)
每天 50 🦌	50 🦌 a day
每天 50 🦌 · 本月已聊 {0} 次	50 🦌 a day · {0} chats this month
每天自动到账 10 枚鹿角；Pro 每天 50 枚，攒着还能生成表情包	10 antlers arrive daily; Pro gets 50, enough to save up for sticker packs
每天自动到账 50 枚鹿角（和小鹿聊天 1 枚/次，根本用不完）	50 antlers arrive daily (chats cost 1 — you won't run out)
每天自动到账（免费 10 枚 / Pro 50 枚），不用签到、断了也不罚	Arrives daily (10 free / 50 with Pro). No check-ins, no streaks, no penalties.
每日到账	Daily grant
用户的日程分类：	User's event categories: 
登录后即可使用小鹿 AI	Sign in to chat with Luka
记住	Remember
请先在「更多 → 账号与同步」登录后使用小鹿 AI	Sign in via More → Account & Sync to use Luka AI
还剩 {0} 枚鹿角（明天自动补充）	{0} antlers left (more arrive tomorrow)
还没有。聊天时告诉小鹿你的偏好（比如「我不爱早上开会」），它会记在这里。	Nothing yet. Tell Luka your preferences in chat (like "no morning meetings") and they'll appear here.
还没有记录	No records yet
邀请奖励	Referral reward
邀请朋友	Invite a friend
里程碑奖励	Milestone reward
🦌 记住啦：{0}	🦌 Got it: {0}
今天的鹿角用完啦，明天还有 10 枚 🦌（Pro 每天 50 枚，攒着还能生成表情包）	Out of antlers for today — 10 more tomorrow 🦌 (Pro gets 50 a day)
今天的鹿角用完啦，明天还有 50 枚 🦌	Out of antlers for today — 50 more tomorrow 🦌
今天的鹿角到账啦	today's antlers have arrived
记住啦	Got it
昵称	Nickname
挑一张照片，小鹿取色配一套	Pick a photo and Luka builds a palette from it
每天自动到账：免费 10 · Pro 50	Arrives daily: 10 free · 50 with Pro
参考价：100 枚 ≈ ¥6	Reference price: 100 ≈ ¥6
每天自动到账 50 枚鹿角	50 antlers arrive daily
订阅 · 鹿角	Subscription · Antlers
日历设置	Calendar settings
数据与维护	Data & maintenance
维护	Maintenance
检查更新	Check for updates
要做什么？	What needs doing?
添加	Add
添加任务	Add a task
AI 不限次 · 更聪明的小鹿 · 生成主题与表情包（规划中）· 标签与年度回顾（规划中）	Unlimited AI · smarter Luka · themes & stickers (coming) · tags & year review (coming)
AI 不限次（改回每天 10 次）· 生成新主题 / 表情包	Unlimited AI (back to 10/day) · new themes / stickers
中	Medium
主题	Theme
全部内容和数据 · 做过的主题 · 云同步与导出 · 提醒闹钟	All your content · themes you made · sync & export · reminders & alarms
关于	About
再想想	Not now
到期后你保留	After it expires you keep
到期后暂停	Paused after expiry
印章	Stamps
去开通 · 12元/月	Subscribe · ¥12/mo
发现 {0} 组重复，将保留每组最早一条，删除其余 {1} 条：	Found {0} duplicate groups; keeping the earliest in each, removing {1}:
大	Large
小	Small
已修改	Updated
已修改任务	Task updated
已修改笔记	Note updated
已删除任务	Task deleted
已删除日程	Event deleted
已删除笔记	Note deleted
我的邀请码	My invite code
手帐全部功能 · 云同步 · 数据导出 · 每天 10 枚鹿角	Every journaling feature · sync · export · 10 antlers a day
撤销刚才的修改	Undo recent changes
日程文字大小	Event text size
更多鹿角（每天 50 枚） · 做自己的主题	More antlers (50 a day) · make your own themes
每天自动到账，和小鹿聊天用 1 枚	Arrives daily; a chat with Luka costs 1
没找到那条任务 —— 告诉我是哪一条？	Couldn't find that task — which one did you mean?
没找到那条日程 —— 告诉我是哪一条？	Couldn't find that event — which one did you mean?
没找到那条笔记	Couldn't find that note
添加任务…	Add a task…
这一天还没有安排 · 点下方 ＋ 添加	Nothing planned · tap + below to add
回今天	Today
这枚印章	This sticker
建日程	New event
我	Me
小鹿	Luka
外观	Look
设置	Settings
数据	Data
帮助	Help
小鹿 AI	Luka AI
备份与维护	Backup & maintenance
把生活，轻轻收进日历里	Tuck life gently into your calendar
小鹿润色中…	Deer is polishing…
常用的日程存成模板，创建时一键带入	Save frequent events as templates and apply them in one tap
新建模板	New template
晨跑 9:00	Morning run 9:00
模板名，例：晨跑	Template name, e.g. Morning run
点下方「＋ 新建模板」开始 ↓	Tap "＋ New template" below to start ↓
管理模板	Manage templates
编辑模板	Edit template
＋ 新建模板	＋ New template
存为模板	Save as template
截止 {0}	Due {0}
点日历上的日期，贴上去 ↑ 可以连续贴	Tap dates on the calendar to place it ↑ tap more to keep stamping
详细设置	More options
选一枚贴纸	Pick a sticker
（点日历改日期）	(tap the calendar to change)
显示印章上的日程名	Show event name on stickers
登记日程	Add event
默认清单	My List
「{0}」和这个贴纸会一起删除。	"{0}" and this sticker will both be deleted.
删除这个贴纸？	Delete this sticker?
删除这条日程？	Delete this event?
贴纸会从这一天移除。	The sticker will be removed from this day.
以下内容由 AI 生成，请自行核对	The following is AI-generated. Please double-check it.
换个词试试	Try another word
搜索日记正文	Search diary text
搜索笔记名、正文	Search note title, text
没找到「{0}」	No match for “{0}”
点下面中间的 ＋ 写今天	Tap the ＋ below to write today’s
点下面中间的 ＋ 写第一条	Tap the ＋ below to write your first one
搜索任务名、备注	Search task name, notes
删除这个任务？	Delete this task?
加星标	Star
取消星标	Unstar
响铃到点后持续提醒（闹钟式）	Keep ringing until dismissed (alarm)
完成于	Done on
已完成	Done
提醒响一声可划走；需要一直响的闹钟，保存后在列表里打开「闹钟式」	Reminders ring once. For a persistent alarm, turn on "alarm" in the list after saving.
无日期	No date
日期	Date
添加提醒	Add reminder
「{0}」里还没有笔记	No notes in “{0}” yet
名字空着或重名了	Name is empty or already used
我的笔记	My Notes
清单名	List name
选择清单	Choose list
清单名（如：灵感 / 会议）	List name (e.g. Ideas / Meetings)
开始日期	Start date
结束日期	End date
收起	Collapse
放弃这个模板？	Discard this template?
已填的内容不会保存	What you entered won't be saved
放弃已填写的内容？	Discard what you entered?
日记正文	Diary text
正文	Text
笔记名、正文	Note title, text
输入关键词，搜索日记正文	Type a keyword to search diary text
（无正文）	(no text)
更新日	Date modified
创建日	Date created
笔记名	Note title
排序	Sort
应用	Apply
重命名	Rename
重命名清单	Rename list
新建笔记	New note
点右上角 ＋ 写第一条	Tap ＋ at top right to write the first one
清单里的笔记会移入默认清单，不会丢	Notes in this list move to the default list — nothing is lost
没找到	No match for
里还没有笔记	has no notes yet
{0} 天	{0} days
任务名、备注	Task name, memo
全部（整月都会标红）	All (every date turns red)
日程名、地点、备注	Event name, place, memo
输入关键词，搜任务名和备注	Type a keyword to search task names and memos
输入关键词，搜日程名、地点和备注	Type a keyword to search events, places and memos
恢复默认	Reset to default
添加任务	Add a task
只显示未归档清单里的任务	Only tasks from lists that are not archived
色	Color
{0} 已经有日记了	{0} already has a diary entry
找不到这篇日记	This diary entry no longer exists
回到今天	Back to today
时间范围	Time range
更多鹿角（每天 50 枚）	More antlers (50 per day)
订阅	Subscription
「{0}」将从系统日历里删除，其他使用该日历的应用也会看不到它	"{0}" will be removed from the system calendar; other apps using it will lose it too
保存失败，系统日历拒绝了	Save failed — the system calendar refused
删除失败，系统日历拒绝了	Delete failed — the system calendar refused
删除这条系统日程？	Delete this system event?
已删除	Deleted
来自系统日历	From system calendar
没有日历写入权限，删不了系统日程	No calendar write permission — can't delete system events
没有日历写入权限，改不了系统日程	No calendar write permission — can't edit system events
系统日历	System calendar
这是重复日程，请在系统日历中管理	This is a recurring event — please manage it in the system calendar
（当前 {0}）	(current {0})
安装已下载的新版本	Install downloaded update
请先允许 Looka 安装应用，开启后回到「更多」页点「安装已下载的新版本」	Please allow Looka to install apps first, then return to More and tap "Install downloaded update"
下载的安装包不见了，请重新检查更新	Downloaded package is missing, please check for updates again
安装包校验失败，已删除，请重新下载	Package verification failed and was deleted, please download again
无法打开安装器：{0}	Cannot open installer: {0}
已完成 {0}	Done {0}
解锁失败，请稍后再试	Unlock failed, please try again later
请先在「更多 → 账号」登录	Please sign in first (More → Account)
还没有历史日程	No past events yet
图片	Photos
添加图片	Add photo
拍照	Take photo
从相册选择	Choose from gallery
图片读取失败	Failed to read image
无法打开相机	Cannot open camera
已删除图片	Photo deleted
图片下载中…	Downloading…
最近使用	Recently used
登录后可用鹿角解锁「{0}」贴纸包	Sign in to unlock the "{0}" pack with antlers
「{0}」贴纸包 · Pro 免费领取	"{0}" pack · free with Pro
「{0}」贴纸包 · {1} 鹿角	"{0}" pack · {1} antlers
「{0}」贴纸包	"{0}" pack
我的鹿角：{0}	My antlers: {0}
已解锁「{0}」🦌	Unlocked "{0}" 🦌
免费领取	Claim free
解锁	Unlock
删除这张图片？	Delete this photo?
图片上传失败	Photo upload failed
鹿角商店	Antler Shop
用鹿角解锁贴纸包	Unlock sticker packs with antlers
登录后可用鹿角解锁贴纸包（每天签到送 10 🦌）	Sign in to unlock sticker packs with antlers (10 🦌 daily check-in)
{0} 枚贴纸	{0} stickers
已解锁	Unlocked
{0} 鹿角	{0} antlers
「日常」包 42 枚永久免费 · Pro 会员全部免费 · 每天签到送 10 🦌	"Daily" pack (42) is free forever · All free with Pro · 10 🦌 daily check-in
